epoch,train_ppl,valid_ppl
1,122.9636,63.6205
2,66.5351,51.5961
3,59.0706,47.8993
4,55.9936,45.7772
5,54.3376,44.4507
6,53.3426,43.5315
7,52.6617,43.1441
8,52.1876,42.9248
9,51.8026,42.3409
10,51.5065,42.2087
11,51.3348,42.0492
12,51.0911,41.7336
13,50.9545,41.4543
14,50.9514,41.5793
15,46.2838,38.7920
16,44.3423,38.1151
17,43.5304,37.7127
18,42.9438,37.3858
19,42.5224,37.1385
20,42.0833,36.9437
21,41.7849,36.6950
22,41.5202,36.5357
23,41.2334,36.3814
24,41.0398,36.2578
25,40.8365,36.0873
26,40.6758,35.9872
27,40.5116,35.8643
28,40.3282,35.7918
29,40.1747,35.6423
30,40.0435,35.5690
31,39.8808,35.4634
32,39.7836,35.3664
33,39.6769,35.2866
34,39.5404,35.1873
35,39.4485,35.0827
36,39.3147,35.0267
37,39.2486,34.9950
38,39.1535,34.9032
39,39.0611,34.8386
40,38.9557,34.7929
