epoch,train_ppl,valid_ppl
1,200.1833,108.8160
2,139.8474,95.0487
3,131.4767,89.9253
4,127.7416,87.0740
5,125.0758,85.1511
6,123.8915,82.7456
7,122.7362,83.2527
8,110.2270,76.1980
9,104.8852,74.6289
10,102.3660,73.2698
11,100.6235,72.2245
12,99.1853,71.3073
13,98.0963,70.6966
14,97.1126,69.7205
15,96.1200,69.2379
16,95.4653,68.7212
17,94.6972,68.2064
18,93.9829,67.7872
19,93.3959,67.1873
20,92.7937,66.6762
21,92.2103,66.1569
22,91.7024,65.7803
23,91.2119,65.6217
24,90.8429,65.1584
25,90.4090,64.9318
26,90.0113,64.3876
27,89.5568,64.1589
28,89.2490,63.9420
29,88.8003,63.6271
30,88.5959,63.3879
31,88.1610,63.2182
32,87.7716,63.0305
33,87.6409,62.6893
34,87.2172,62.6125
35,87.0434,62.3227
36,86.8162,62.0623
37,86.5445,61.7962
38,86.3456,61.6405
39,86.2065,61.6337
40,85.8884,61.4846
