epoch,train_ppl,valid_ppl
1,114.9233,59.1400
2,58.8883,48.1511
3,51.5014,44.4316
4,48.4413,42.4392
5,46.8378,41.3950
6,45.8503,40.7110
7,45.1172,40.2016
8,44.6451,39.8186
9,44.2574,39.4880
10,44.0284,39.2311
11,43.7413,39.0787
12,43.5616,38.8615
13,43.3844,38.8272
14,43.1708,38.5105
15,43.0722,38.5294
16,38.7662,35.6791
17,37.1664,35.0137
18,36.4273,34.6365
19,35.8704,34.3459
20,35.5390,34.0696
21,35.2039,33.8774
22,34.9435,33.7401
23,34.6930,33.5923
24,34.4928,33.4393
25,34.3006,33.3194
26,34.1381,33.2288
27,33.9655,33.0989
28,33.8465,33.0068
29,33.6722,32.9149
30,33.5517,32.8280
31,33.4451,32.7945
32,33.3112,32.7072
33,33.2344,32.6079
34,33.1264,32.5705
35,33.0184,32.4658
36,32.9481,32.4323
37,32.8460,32.3809
38,32.7673,32.3316
39,32.6616,32.2731
40,32.6059,32.2213
