epoch,train_ppl,valid_ppl
1,107.2998,56.9371
2,52.7188,46.2920
3,45.3505,42.4642
4,42.2418,40.8872
5,40.5569,39.6419
6,39.4421,39.0170
7,38.7903,38.6804
8,38.2370,38.2888
9,37.8230,37.9755
10,37.5153,37.7433
11,37.2471,37.4833
12,36.9634,37.5797
13,32.4830,34.0820
14,30.8507,33.3978
15,30.1204,33.0059
16,29.6067,32.6968
17,29.2042,32.4520
18,28.8844,32.3595
19,28.6172,32.1814
20,28.3866,32.1125
21,28.1805,31.9402
22,27.9797,31.8520
23,27.7983,31.7651
24,27.6356,31.6996
25,27.4888,31.6485
26,27.3197,31.6014
27,27.2139,31.5082
28,27.0894,31.4254
29,26.9601,31.3586
30,26.8731,31.3357
31,26.7546,31.2800
32,26.6573,31.2052
33,26.5606,31.2077
34,25.7011,30.7636
35,25.4182,30.6813
36,25.3146,30.6131
37,25.2269,30.5848
38,25.1242,30.5589
39,25.0927,30.5198
40,25.0389,30.4903
