epoch,train_ppl,valid_ppl
1,100.2554,55.4376
2,47.1134,44.6510
3,39.4148,41.7838
4,36.0593,40.2067
5,34.1480,39.4897
6,32.8756,39.1161
7,31.9093,38.6687
8,31.2372,38.8155
9,25.5622,34.4019
10,23.2558,34.1133
11,22.0426,34.1225
12,20.2756,33.7997
13,19.7316,33.8110
14,19.2057,33.6540
15,19.0588,33.6446
16,18.9593,33.6550
17,18.8126,33.5524
18,18.7770,33.5360
19,18.7510,33.5336
20,18.7275,33.5356
21,18.6849,33.5131
22,18.6777,33.5026
23,18.6713,33.4971
24,18.6654,33.4942
25,18.6596,33.4929
26,18.6539,33.4926
27,18.6484,33.4928
28,18.6369,33.4907
29,18.6354,33.4892
30,18.6339,33.4881
31,18.6325,33.4872
32,18.6311,33.4865
33,18.6297,33.4860
34,18.6283,33.4855
35,18.6269,33.4852
36,18.6255,33.4850
37,18.6241,33.4848
38,18.6227,33.4847
39,18.6213,33.4847
40,18.6200,33.4847
